"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969988339775492097",2018-03-03 17:30:16,"x826862683177811968","MautzAgency","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/Jrjps8BnUw https://t.co/tfzuIZuPZW","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/Jrjps8BnUw","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXQDRUMAEQ8R9.jpg","https://t.co/tfzuIZuPZW","https://twitter.com/MautzAgency/status/969988339775492097/photo/1","photo","http://pbs.twimg.com/media/DXYXQDRUMAEQ8R9.jpg","https://t.co/tfzuIZuPZW","https://twitter.com/MautzAgency/status/969988339775492097/photo/1",,,,"en",,,,,,,,,,,,,
"x969988338240380928",2018-03-03 17:30:16,"x313610650","GarlandBoyd","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/p8NrmZU8cT https://t.co/mKKiPDy7to","Hootsuite",,,,FALSE,FALSE,1,0,,,"ti.me/2EWVAHC","https://t.co/p8NrmZU8cT","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXP6QX0AA580l.jpg","https://t.co/mKKiPDy7to","https://twitter.com/GarlandBoyd/status/969988338240380928/photo/1","photo","http://pbs.twimg.com/media/DXYXP6QX0AA580l.jpg","https://t.co/mKKiPDy7to","https://twitter.com/GarlandBoyd/status/969988338240380928/photo/1",,,,"en",,,,,,,,,,,,,
"x969988337573310466",2018-03-03 17:30:15,"x2983287937","mimsyboo_thea","Because even though I caught this deadly flu he won’t leave my side #MyPetIsMyTherapist https://t.co/i1aQdGpvpM","Twitter for iPhone",,,,FALSE,FALSE,1,0,"MyPetIsMyTherapist",,,,,"http://pbs.twimg.com/media/DXYXPg1U8AAtzfW.jpg","https://t.co/i1aQdGpvpM","https://twitter.com/mimsyboo_thea/status/969988337573310466/photo/1","photo","http://pbs.twimg.com/media/DXYXPg1U8AAtzfW.jpg","https://t.co/i1aQdGpvpM","https://twitter.com/mimsyboo_thea/status/969988337573310466/photo/1",,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/36ac79e68ace76e4.json","Rancho Cucamonga","Rancho Cucamonga, CA","city","United States","US",,,"-117.637862 -117.4864431 -117.4864431 -117.637862 34.077184 34.077184 34.166156 34.166156"
"x969988336113868800",2018-03-03 17:30:15,"x2353592538","HebertInsLA","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/cfC1QPFo6d https://t.co/al8FzzBzEz","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/cfC1QPFo6d","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXP5jXcAAxGCl.jpg","https://t.co/al8FzzBzEz","https://twitter.com/HebertInsLA/status/969988336113868800/photo/1","photo","http://pbs.twimg.com/media/DXYXP5jXcAAxGCl.jpg","https://t.co/al8FzzBzEz","https://twitter.com/HebertInsLA/status/969988336113868800/photo/1",,,,"en",,,,,,,,,,,,,
"x969988335837032453",2018-03-03 17:30:15,"x849343429272375297","Gowin_Insurance","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/zbsVFipbKD https://t.co/bPoN6rzfkz","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/zbsVFipbKD","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXP0fXcAAvji6.jpg","https://t.co/bPoN6rzfkz","https://twitter.com/Gowin_Insurance/status/969988335837032453/photo/1","photo","http://pbs.twimg.com/media/DXYXP0fXcAAvji6.jpg","https://t.co/bPoN6rzfkz","https://twitter.com/Gowin_Insurance/status/969988335837032453/photo/1",,,,"en",,,,,,,,,,,,,
"x969988334650093569",2018-03-03 17:30:15,"x61914580","akSpann","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/03lprxdPqs https://t.co/tRypqZ9iGT","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/03lprxdPqs","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXPxzW4AAn2gw.jpg","https://t.co/tRypqZ9iGT","https://twitter.com/akSpann/status/969988334650093569/photo/1","photo","http://pbs.twimg.com/media/DXYXPxzW4AAn2gw.jpg","https://t.co/tRypqZ9iGT","https://twitter.com/akSpann/status/969988334650093569/photo/1",,,,"en",,,,,,,,,,,,,
"x969988334142611456",2018-03-03 17:30:15,"x842014129535758337","ModernAdvisors","The 2018 Flu Season Might Finally Be Leveling Off: https://t.co/2YSPBSAhZq https://t.co/qUibIEFYTX","Hootsuite",,,,FALSE,FALSE,0,0,,,"ti.me/2EWVAHC","https://t.co/2YSPBSAhZq","http://ti.me/2EWVAHC","http://pbs.twimg.com/media/DXYXPx3X0AUgGa3.jpg","https://t.co/qUibIEFYTX","https://twitter.com/ModernAdvisors/status/969988334142611456/photo/1","photo","http://pbs.twimg.com/media/DXYXPx3X0AUgGa3.jpg","https://t.co/qUibIEFYTX","https://twitter.com/ModernAdvisors/status/969988334142611456/photo/1",,,,"en",,,,,,,,,,,,,
"x969988290437771264",2018-03-03 17:30:04,"x2835519123","DenverBuffs","Sexual Health.
We aren't afraid to talk about getting the flu virus or strep throat so why can't talk about our... https://t.co/KPE12cAh8Z","Facebook",,,,FALSE,FALSE,0,0,,,"fb.me/3y9G3m5NR","https://t.co/KPE12cAh8Z","https://fb.me/3y9G3m5NR",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969988273220222976",2018-03-03 17:30:00,"x16440677","FOX59","New data shows 244 Hoosiers have died from flu: https://t.co/z5QiJCWeix","SocialNewsDesk",,,,FALSE,FALSE,0,0,,,"fox59.com/2018/03/02/new…","https://t.co/z5QiJCWeix","http://fox59.com/2018/03/02/new-data-shows-244-hoosiers-have-died-from-flu/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969988166886346752",2018-03-03 17:29:35,"x44339519","SeattleNews360","Flu Still Widespread In Washington, Slows Nationally  https://t.co/ARIoqsCK2B","Zapier.com",,,,FALSE,FALSE,0,0,,,"zpr.io/nx5eB","https://t.co/ARIoqsCK2B","http://zpr.io/nx5eB",,,,,,,,,,,"en",,,,,,,,,,,,,
